line_ref,invoice_ref,placement_id,base_salary,close_reason
L-0001,INV-2604-01,plc_00012,50500,declined
L-0002,INV-2604-01,plc_00002,61000,declined
L-0003,INV-2604-01,plc_00052,96500,hired
L-0004,INV-2604-01,plc_00014,119500,withdrawn
L-0005,INV-2604-01,plc_00030,56500,hired
L-0006,INV-2604-01,plc_00071,130500,declined
L-0007,INV-2604-01,plc_00016,52000,withdrawn
L-0008,INV-2604-01,plc_00064,83000,declined
L-0009,INV-2604-01,plc_00029,120500,hired
L-0010,INV-2604-01,plc_00013,135500,withdrawn
L-0011,INV-2604-01,plc_00404,56000,withdrawn
L-0012,INV-2604-02,plc_00075,133500,declined
L-0013,INV-2604-02,plc_00038,128000,hired
L-0014,INV-2604-02,plc_00092,78000,withdrawn
L-0015,INV-2604-02,plc_00053,65500,hired
L-0016,INV-2604-02,plc_00101,90000,hired
L-0017,INV-2604-02,plc_00084,96000,declined
L-0018,INV-2604-02,plc_00091,100500,hired
L-0019,INV-2604-02,plc_00109,70000,declined
L-0020,INV-2604-02,plc_00080,113000,hired
L-0021,INV-2604-02,plc_00083,58000,withdrawn
L-0022,INV-2604-02,plc_00999,129500,hired
L-0023,INV-2604-03,plc_00123,127500,hired
L-0024,INV-2604-03,plc_00138,84500,withdrawn
L-0025,INV-2604-03,plc_00110,118000,withdrawn
L-0026,INV-2604-03,plc_00103,97500,hired
L-0027,INV-2604-03,plc_00105,139500,hired
L-0028,INV-2604-03,plc_00126,76000,hired
L-0029,INV-2604-03,plc_00137,82000,hired
L-0030,INV-2604-03,plc_00129,106000,hired
L-0031,INV-2604-03,plc_00111,101000,withdrawn
L-0032,INV-2604-03,plc_00115,98500,withdrawn
L-0033,INV-2604-03,plc_07777,80000,withdrawn
L-0034,INV-2604-04,plc_00124,107500,hired
L-0035,INV-2604-04,plc_00139,80000,hired
L-0036,INV-2604-04,plc_00156,71500,withdrawn
L-0037,INV-2604-04,plc_00155,102000,hired
L-0038,INV-2604-04,plc_00172,100000,hired
L-0039,INV-2604-04,plc_00153,104000,withdrawn
L-0040,INV-2604-04,plc_00150,64500,withdrawn
L-0041,INV-2604-04,plc_00196,61500,hired
L-0042,INV-2604-04,plc_00206,128500,withdrawn
L-0043,INV-2604-04,plc_00147,102000,withdrawn
L-0044,INV-2604-05,plc_00209,72500,withdrawn
L-0045,INV-2604-05,plc_00216,105000,declined
L-0046,INV-2604-05,plc_00219,65500,withdrawn
L-0047,INV-2604-05,plc_00246,62000,hired
L-0048,INV-2604-05,plc_00223,111000,withdrawn
L-0049,INV-2604-05,plc_00241,107500,hired
L-0050,INV-2604-05,plc_00218,72500,hired
L-0051,INV-2604-05,plc_00244,45000,withdrawn
L-0052,INV-2604-05,plc_00239,101500,hired
L-0053,INV-2604-08,plc_00007,59000,declined
L-0054,INV-2604-08,plc_00033,113000,hired
L-0055,INV-2604-08,plc_00046,84500,declined
L-0056,INV-2604-08,plc_00058,61500,withdrawn
L-0057,INV-2604-09,plc_00097,73000,withdrawn
L-0058,INV-2604-09,plc_00118,75000,declined
L-0059,INV-2604-10,plc_00161,128500,hired
L-0060,INV-2603-99,plc_00187,105000,declined
L-0061,INV-2603-99,plc_00211,83500,declined
L-0062,INV-2603-99,plc_00230,80500,hired
