application_id,placement_id,owner
app_0030,plc_00001,ken
app_0007,plc_00008,priya
app_0038,plc_00053,ken
app_0071,plc_00902,priya
app_0070,plc_00901,ken
app_0032,plc_00013,priya
app_0020,plc_00015,ken
app_0031,plc_00002,priya
app_0021,plc_00017,ken
app_0064,plc_00026,priya
app_0065,plc_00028,ken
app_0044,plc_00091,priya
app_0010,plc_00011,ken
app_0001,plc_00003,priya
app_0035,plc_00025,ken
app_0062,plc_00022,priya
app_0022,plc_00018,ken
app_0037,plc_00030,priya
app_0067,plc_00029,ken
app_0061,plc_00021,priya
app_0034,plc_00016,ken
app_0052,plc_00041,priya
app_0047,plc_00103,ken
app_0033,plc_00014,priya
app_0046,plc_00100,ken
app_0009,plc_00010,priya
app_0051,plc_00024,ken
app_0050,plc_00036,priya
app_0060,plc_00020,ken
app_0003,plc_00007,priya
app_0002,plc_00004,ken
app_0023,plc_00019,priya
app_0066,plc_00027,ken
app_0039,plc_00084,priya
app_0008,plc_00009,ken
app_0063,plc_00023,priya
app_0006,plc_00005,ken
app_0004,plc_00006,priya
app_0045,plc_00092,ken
app_0011,plc_00012,priya
app_0036,plc_00038,ken
