punch_ref,shift_id,punch_in_utc,punch_out_utc
PCH-0101,shift_0035,2026-08-05T04:23:34Z,2026-08-05T11:53:34Z
PCH-0102,shift_0067,2026-06-15T05:52:24Z,2026-06-15T07:52:24Z
PCH-0102,shift_0067,2026-06-15T05:52:24Z,2026-06-15T13:52:24Z
PCH-0103,shift_0002,2026-06-26T21:54:51Z,2026-06-27T05:24:51Z
PCH-0104,shift_0069,2026-07-25T00:22:20Z,2026-07-25T12:07:20Z
PCH-0105,shift_0086,2026-07-17T02:17:22Z,2026-07-17T03:47:22Z
PCH-0106,shift_0093,2026-07-21T01:18:18Z,2026-07-21T07:18:18Z
PCH-0107,shift_0001,2026-07-18T00:36:25Z,2026-07-18T10:36:25Z
PCH-0108,shift_0051,2026-06-18T00:56:50Z,2026-06-18T02:56:50Z
PCH-0108,shift_0051,2026-06-18T00:56:50Z,2026-06-18T05:56:50Z
PCH-0109,shift_0063,2026-06-28T23:09:37Z,2026-06-29T08:09:37Z
PCH-0110,shift_0023,2026-07-31T14:40:13Z,2026-07-31T21:40:13Z
PCH-0111,shift_0025,2026-06-02T16:48:43Z,2026-06-03T00:18:43Z
PCH-0112,shift_0036,2026-06-04T16:29:47Z,2026-06-05T00:29:47Z
PCH-0113,shift_0059,2026-06-27T14:12:24Z,2026-06-27T18:12:24Z
PCH-0114,shift_0131,2026-06-19T12:47:06Z,2026-06-20T00:32:06Z
PCH-0115,shift_0018,2026-06-28T15:43:35Z,2026-06-28T17:13:35Z
PCH-0116,shift_0007,2026-06-27T12:19:19Z,2026-06-27T14:19:19Z
PCH-0116,shift_0007,2026-06-27T12:19:19Z,2026-06-27T18:19:19Z
PCH-0117,shift_0052,2026-06-15T12:58:33Z,2026-06-15T22:58:33Z
PCH-0118,shift_0053,2026-08-01T10:56:21Z,2026-08-01T15:56:21Z
PCH-0119,shift_0045,2026-07-15T20:56:42Z,2026-07-16T05:56:42Z
PCH-0120,shift_0103,2026-06-28T20:43:16Z,2026-06-29T03:43:16Z
PCH-0121,shift_0106,2026-06-21T18:55:43Z,2026-06-22T02:25:43Z
PCH-0122,shift_0006,2026-07-30T09:29:43Z,2026-07-30T17:29:43Z
PCH-0123,shift_0095,2026-07-13T07:48:44Z,2026-07-13T11:48:44Z
PCH-0124,shift_0136,2026-06-12T08:23:38Z,2026-06-12T20:08:38Z
PCH-0200,shift_0012,2026-06-08T10:03:35Z,2026-06-08T18:03:35Z
PCH-0201,shift_0013,2026-07-05T13:06:17Z,2026-07-05T21:06:17Z
PCH-0202,shift_0014,2026-07-04T13:44:30Z,2026-07-04T21:44:30Z
PCH-0210,shift_0999,2026-08-05T04:38:34Z,2026-08-05T09:38:34Z
PCH-0211,shift_4242,2026-06-15T05:52:24Z,2026-06-15T10:52:24Z
