case_ref,candidate_id,placement_id,agency_id,requested_stage
MOB-2608-001,cand_03583,plc_00011,agy_00007,screening
MOB-2608-002,cand_04530,plc_00012,agy_00009,interview
MOB-2608-003,cand_00024,plc_00015,agy_00008,interview
MOB-2608-004,cand_03363,plc_00018,agy_00015,offer
MOB-2608-005,cand_00422,plc_00019,agy_00012,submitted
MOB-2608-006,cand_00670,plc_00029,agy_00009,screening
MOB-2608-007,cand_05764,plc_00070,agy_00006,submitted
MOB-2608-008,cand_05212,plc_00076,agy_00004,submitted
MOB-2608-009,cand_04429,plc_00110,agy_00010,screening
MOB-2608-010,cand_05758,plc_00111,agy_00011,screening
MOB-2608-003,cand_00024,plc_00015,agy_00008,interview
MOB-2608-011,cand_05219,plc_00002,agy_00008,interview
MOB-2608-012,cand_04373,plc_00013,agy_00007,interview
MOB-2608-013,cand_04411,plc_00001,agy_00002,submitted
MOB-2608-014,cand_00157,plc_00009,agy_00013,placed
MOB-2608-015,cand_04530,plc_00011,agy_00007,offer
MOB-2608-016,cand_04530,plc_00012,agy_00007,offer
MOB-2608-017,cand_99999,plc_00124,agy_00010,interview
MOB-2608-018,cand_02330,plc_00167,agy_00012,screening
MOB-2608-018,cand_02330,plc_00167,agy_00012,submitted
