seq,brackett_ref,record_kind,pg_id,pg_worker_id,closed_on,open_placements,close_reason
0,BK-1001,WORKER,emp_0009,,2025-11-04,0,resignation
1,BK-1002,PLACEMENT,asg_0015,emp_0007,2025-11-18,0,contract-end
2,BK-1003,PERIOD,run_0019,,2025-12-02,0,redundancy
3,BK-1004,WORKER,emp_0002,,2025-12-16,0,retirement
4,BK-1005,PLACEMENT,asg_0028,emp_0112,2026-01-06,0,transfer-out
5,BK-1006,PERIOD,run_0006,,2026-01-20,0,end-of-assignment
6,BK-1007,WORKER,emp_0012,,2026-02-03,0,probation-lapse
7,BK-1008,PLACEMENT,asg_0136,emp_0111,2026-02-17,0,tupe-out
8,BK-1009,PERIOD,run_0013,,2025-11-04,0,resignation
9,BK-1010,WORKER,emp_0052,,2025-11-18,3,contract-end
10,BK-1011,PLACEMENT,asg_0060,emp_0059,2025-12-02,0,redundancy
11,BK-1012,PERIOD,run_0022,,2025-12-16,0,retirement
12,BK-1013,WORKER,emp_0040,,2026-01-06,2,transfer-out
13,BK-1014,PLACEMENT,asg_0051,emp_0112,2026-01-20,0,end-of-assignment
14,BK-1015,PERIOD,run_0036,,2026-02-03,0,probation-lapse
15,BK-1016,WORKER,emp_0024,,2026-02-17,2,tupe-out
16,BK-1017,PLACEMENT,asg_0001,emp_0090,2025-11-04,0,resignation
17,BK-1018,PERIOD,run_0021,,2025-11-18,0,contract-end
18,BK-1019,WORKER,emp_0055,,2025-12-02,0,redundancy
19,BK-1020,PLACEMENT,asg_0108,emp_0028,2025-12-16,0,retirement
20,BK-1021,PERIOD,run_0007,,2026-01-06,0,transfer-out
21,BK-1022,WORKER,emp_0015,,2026-01-20,0,end-of-assignment
22,BK-1023,PLACEMENT,asg_0056,emp_0030,2026-02-03,0,probation-lapse
23,BK-1024,PERIOD,run_0014,,2026-02-17,0,tupe-out
24,BK-1025,WORKER,emp_0003,,2025-11-04,0,resignation
25,BK-1026,PLACEMENT,asg_0003,emp_0120,2025-11-18,0,contract-end
26,BK-1027,PERIOD,run_0023,,2025-12-02,0,redundancy
27,BK-1028,WORKER,emp_0013,,2025-12-16,0,retirement
28,BK-1029,PLACEMENT,asg_0109,emp_0098,2026-01-06,0,transfer-out
29,BK-1030,PERIOD,run_0037,,2026-01-20,0,end-of-assignment
30,BK-1031,WORKER,emp_0066,,2026-02-03,1,probation-lapse
31,BK-1032,PLACEMENT,asg_0114,emp_0112,2026-02-17,0,tupe-out
32,BK-1033,PERIOD,run_0001,,2025-11-04,0,resignation
33,BK-1034,WORKER,emp_0050,,2025-11-18,2,contract-end
34,BK-1035,PLACEMENT,asg_0005,emp_0115,2025-12-02,0,redundancy
35,BK-1036,PERIOD,run_0008,,2025-12-16,0,retirement
36,BK-1037,WORKER,emp_0026,,2026-01-06,2,transfer-out
37,BK-1038,PLACEMENT,asg_0110,emp_0044,2026-01-20,0,end-of-assignment
38,BK-1039,PERIOD,run_0015,,2026-02-03,0,probation-lapse
39,BK-1040,WORKER,emp_0070,,2026-02-17,0,tupe-out
40,BK-1041,PLACEMENT,asg_0119,emp_0113,2025-11-04,0,resignation
41,BK-1042,PERIOD,run_0031,,2025-11-18,0,contract-end
42,BK-1043,WORKER,emp_0016,,2025-12-02,0,redundancy
43,BK-1044,PLACEMENT,asg_0006,emp_0074,2025-12-16,0,retirement
44,BK-1045,PERIOD,run_0038,,2026-01-06,0,transfer-out
45,BK-1046,WORKER,emp_0004,,2026-01-20,0,end-of-assignment
46,BK-1047,PLACEMENT,asg_0004,emp_0113,2026-02-03,0,probation-lapse
47,BK-1048,PERIOD,run_0002,,2026-02-17,0,tupe-out
48,BK-1049,WORKER,emp_0014,,2025-11-04,0,resignation
49,BK-1050,PLACEMENT,asg_0120,emp_0114,2025-11-18,0,contract-end
50,BK-1051,PERIOD,run_0009,,2025-12-02,0,redundancy
51,BK-1052,WORKER,emp_0031,,2025-12-16,2,retirement
52,BK-1053,PLACEMENT,asg_0801,emp_0220,2026-01-06,0,transfer-out
53,BK-1054,PERIOD,run_0016,,2026-01-20,0,end-of-assignment
54,BK-1055,WORKER,emp_0053,,2026-02-03,2,probation-lapse
55,BK-1056,PLACEMENT,asg_0011,emp_0111,2026-02-17,0,tupe-out
56,BK-1057,PERIOD,run_0032,,2025-11-04,0,resignation
57,BK-1058,WORKER,emp_0027,,2025-11-18,2,contract-end
58,BK-1059,PLACEMENT,asg_0133,emp_0030,2025-12-02,0,redundancy
59,BK-1060,PERIOD,run_0003,,2025-12-16,0,retirement
60,BK-1061,WORKER,emp_0130,,2026-01-06,0,transfer-out
61,BK-1062,PLACEMENT,asg_0802,emp_0221,2026-01-20,0,end-of-assignment
62,BK-1063,PERIOD,run_0010,,2026-02-03,0,probation-lapse
63,BK-1064,WORKER,emp_0019,,2026-02-17,0,tupe-out
64,BK-1065,PERIOD,run_0017,,2025-11-04,0,resignation
65,BK-1066,WORKER,emp_0007,,2025-11-18,0,contract-end
66,BK-1067,PERIOD,run_0033,,2025-12-02,0,redundancy
67,BK-1068,WORKER,emp_0017,,2025-12-16,0,retirement
68,BK-1069,PERIOD,run_0004,,2026-01-06,0,transfer-out
69,BK-1070,WORKER,emp_0035,,2026-01-20,2,end-of-assignment
70,BK-1071,PERIOD,run_0011,,2026-02-03,0,probation-lapse
71,BK-1072,WORKER,emp_0056,,2026-02-17,2,tupe-out
72,BK-1073,PERIOD,run_0018,,2025-11-04,0,resignation
73,BK-1074,WORKER,emp_0032,,2025-11-18,2,contract-end
74,BK-1075,PERIOD,run_0034,,2025-12-02,0,redundancy
75,BK-1076,WORKER,emp_0133,,2025-12-16,0,retirement
76,BK-1077,PERIOD,run_0005,,2026-01-06,0,transfer-out
77,BK-1078,WORKER,emp_0023,,2026-01-20,0,end-of-assignment
78,BK-1079,PERIOD,run_0012,,2026-02-03,0,probation-lapse
79,BK-1080,WORKER,emp_0008,,2026-02-17,0,tupe-out
80,BK-1081,PERIOD,run_0020,,2025-11-04,0,resignation
81,BK-1082,WORKER,emp_0020,,2025-11-18,0,contract-end
82,BK-1083,PERIOD,run_0035,,2025-12-02,0,redundancy
83,BK-1084,WORKER,emp_0036,,2025-12-16,2,retirement
84,BK-1085,WORKER,emp_0068,,2026-01-06,0,transfer-out
85,BK-1086,WORKER,emp_0005,,2026-01-20,0,end-of-assignment
86,BK-1087,WORKER,emp_0136,,2026-02-03,0,probation-lapse
87,BK-1088,WORKER,emp_0028,,2026-02-17,0,tupe-out
88,BK-1089,WORKER,emp_0010,,2025-11-04,0,resignation
89,BK-1090,WORKER,emp_0021,,2025-11-18,0,contract-end
90,BK-1091,WORKER,emp_0037,,2025-12-02,2,redundancy
91,BK-1092,WORKER,emp_0072,,2025-12-16,0,retirement
92,BK-1093,WORKER,emp_0022,,2026-01-06,0,transfer-out
93,BK-1094,WORKER,emp_0139,,2026-01-20,0,end-of-assignment
94,BK-1095,WORKER,emp_0001,,2026-02-03,0,probation-lapse
95,BK-1096,WORKER,emp_0011,,2026-02-17,0,tupe-out
96,BK-1097,WORKER,emp_0033,,2025-11-04,1,resignation
97,BK-1098,WORKER,emp_0039,,2025-11-18,2,contract-end
98,BK-1099,WORKER,emp_0076,,2025-12-02,0,redundancy
99,BK-1100,WORKER,emp_0030,,2025-12-16,0,retirement
100,BK-1101,WORKER,emp_0142,,2026-01-06,0,transfer-out
